,RTRF,RMRF,SMB,HML,MOM
2006-04-28,0,0.08795570498321488,-0.03321991800356507,-0.03563086607142852,0.029454787202380935
2006-05-31,0,0.17499219184930154,0.0017244144385027127,-0.05051208928571429,-0.03773779166666659
2006-06-30,0,0.015253559040965446,0.0042964269162210356,-0.003119959821428604,-0.011551976190476175
2006-07-31,0,-0.0763554391243239,0.0071625819964349505,-0.03337114285714288,-0.009800922619047617
2006-08-31,0,0.012082663042329966,-0.003618105169340445,-0.014344665178571435,0.0026792351190476167
2006-09-29,0,0.02219631746161077,0.002070562388591807,-0.03115764955357144,-0.009790950892857152
2006-10-31,0,-0.0029809966619730455,-0.009225988413547237,-0.007319290178571426,0.00013304761904762188
2006-11-30,0,0.09467553533202355,-0.03161727718360071,-0.028011946428571428,0.016842433035714272
2006-12-29,0,0.11470770711636635,-0.024099360962566846,-0.03310112723214287,0.02617071875
2007-01-31,0,0.160864240138331,0.0020932299465241163,-0.0037294352678572374,-0.02796859970238097
2007-02-28,0,0.07830122910861437,0.01651122281639927,0.007373408482142896,-0.026410730654761908
2007-03-30,0,0.09210263974339242,0.01956549286987524,-0.02657814732142855,-0.020767391369047643
2007-04-30,0,0.2636444600985988,-0.010012876114081925,-0.025944078124999947,0.01623684375000006
2007-05-31,0,0.06972516895769694,-0.006084620320855608,-0.07609318750000003,-0.01764812946428572
2007-06-29,0,-0.11843907926908907,-0.0558432415329768,-0.10669569419642862,-0.0038859360119047597
2007-07-31,0,0.16157496614026712,0.010100671122994669,0.013850720982142928,-0.030224671130952327
2007-08-31,0,0.12011789140847709,-0.009414190730837841,-0.04732289732142861,-0.025582757440476188
2007-09-28,0,0.009566799083907406,-0.010012992869875224,-0.03639756696428572,0.0002642425595238122
2007-10-31,0,-0.05319237137387971,-0.022069459893048152,-0.0516481205357143,0.0028197976190476068
2007-11-30,0,-0.18401315174544525,0.028210755793226353,0.006044749999999963,-0.04110640178571426
2007-12-28,0,0.10719034207454513,-0.010587978609625685,-0.015060823660714285,-0.006458205357142871
2008-01-31,0,-0.15227935504071144,0.0047259117647058735,-0.0075407745535714145,-0.017353690476190474
2008-02-29,0,-0.007156706439566456,0.01098872905525849,0.0016809531250000199,-0.00923853869047621
2008-03-31,0,-0.23255668840147947,0.008657319073083763,-0.011645191964285803,-0.014564824404761983
2008-04-30,0,-0.01471974829894685,-0.03240114705882353,-0.04119137946428571,0.011429357142857139
2008-05-30,0,-0.11686832304915473,0.008419413547237072,-0.026296953124999963,-0.013984178571428554
2008-06-30,0,-0.26554807405538083,-0.008679410873440301,-0.038525482142857205,0.00818327083333332
2008-07-31,0,-0.010944768038009594,0.006426167557932274,-0.0027212120535713867,-0.018954211309523798
2008-08-29,0,-0.21241068889979367,-0.008549760249554327,-0.010953915178571432,-0.0024442008928571707
2008-09-26,0,-0.10756516609538747,-0.01901558734402853,0.005365066964285728,-0.010594470238095255
