,ARGENTINA,AUSTRIA,AUSTRALIA,BELGIUM,BRAZIL,CANADA,SWITZERLAND,CHINA,CZECH-REPUBLIC,GERMANY,DENMARK,SPAIN,FINLAND,FRANCE,UNITED-KINGDOM,HONG-KONG,INDONESIA,IRELAND,INDIA,ITALY,JAPAN,SOUTH-KOREA,LUXEMBOURG,MEXICO,MALAYSIA,NETHERLANDS,NORWAY,NEW-ZEALAND,PERU,PHILIPPINES,POLAND,PORTUGAL,ROMANIA,RUSSIA,SWEDEN,SINGAPORE,THAILAND,TAIWAN,SOUTH-AFRICA
2014,44.625957446808485,83.95401459854014,34.05940594059406,107.00384615384615,56.2793670886076,85.73692307692309,39.501746724890836,39.84732510288066,42.16641791044776,75.71081081081081,44.35657370517928,100.39999999999999,59.953658536585365,94.90145985401459,78.12752293577982,32.01206896551724,24.939342105263165,104.26457564575647,66.56035175879397,131.58215767634854,236.06818181818178,37.29270588235294,22.707826086956523,39.87991803278689,52.865478260869565,67.77366255144031,28.700000000000003,25.276987447698744,20.743589743589745,45.47323420074349,50.77045454545454,130.4362445414847,39.2,14.635537190082644,45.43192488262912,97.97190476190477,42.89876543209877,32.68908045977012,46.9900826446281
2013,43.50085106382977,81.32627737226278,30.55445544554456,105.30192307692307,51.58974683544304,86.30410256410258,39.501746724890836,36.998353909465024,44.900000000000006,78.6837837837838,44.11115537848605,95.2954314720812,56.307317073170736,93.48540145985402,76.16238532110093,33.82198275862069,24.939342105263165,119.9,67.09236180904523,128.6078838174274,232.5151515151515,35.43035294117647,23.7,36.52704918032787,54.780521739130435,67.64979423868311,30.827659574468086,25.487866108786612,20.0,49.198141263940514,56.0,129.01790393013098,37.706870229007635,11.452066115702479,40.70375586854461,102.17904761904762,45.70370370370371,33.73781609195402,44.14710743801653
2012,40.1255319148936,81.85182481751825,27.575247524752477,104.73461538461538,53.7213924050633,85.45333333333335,40.39257641921398,34.273251028806584,44.52723880597015,81.16126126126127,45.21553784860558,85.51167512690354,53.78292682926829,90.65328467153284,72.79357798165138,34.141379310344824,22.960000000000008,111.01623616236162,66.56035175879397,122.65933609958506,228.9621212121212,32.20227450980392,21.999130434782607,33.795081967213115,53.50382608695652,66.16337448559669,30.082978723404256,23.58995815899582,21.23931623931624,51.55724907063197,54.05,126.18122270742357,37.08473282442748,10.744628099173553,38.07699530516433,105.82523809523809,43.775308641975315,34.0,41.01983471074381
2011,38.437872340425514,82.37737226277372,24.070297029702974,103.31634615384615,51.27,82.05025641025642,39.501746724890836,33.653909465020575,39.805597014925375,79.79864864864865,46.44262948207171,69.3472081218274,48.453658536585365,87.82116788321167,69.14403669724771,34.7801724137931,23.242763157894743,86.14169741697418,67.26969849246231,115.40954356846473,222.56666666666663,31.457333333333334,18.951739130434785,33.174180327868854,54.35495652173913,61.704115226337436,29.019148936170215,19.372384937238493,22.974358974358974,51.06059479553903,54.49318181818182,111.2886462882096,34.098473282442754,9.683471074380165,37.72676056338029,101.05714285714286,40.79506172839506,33.126053639846745,38.17685950413223
2010,43.50085106382977,82.69270072992701,20.390099009900993,100.19615384615383,51.802911392405065,81.48307692307694,38.90786026200874,33.653909465020575,37.44477611940299,82.4,43.00677290836653,59.98883248730964,47.051219512195125,85.27226277372262,62.967889908256886,35.418965517241375,24.65657894736843,61.62250922509226,65.49633165829147,114.2941908713693,208.35454545454542,30.836549019607844,20.156521739130437,31.55983606557377,53.50382608695652,59.2267489711934,42.742553191489364,13.467782426778243,25.45299145299145,52.42639405204461,53.518181818181816,96.04148471615719,29.619083969465652,8.97603305785124,38.602347417840384,97.1304761904762,43.95061728395062,32.07731800766284,34.62314049586777
2009,55.31446808510637,79.85474452554745,16.709900990099015,100.19615384615383,59.26367088607596,79.49794871794873,40.83799126637555,34.273251028806584,33.5929104477612,72.9855855855856,40.42988047808765,52.75736040609135,41.7219512195122,83.00656934306569,48.650458715596336,31.160344827586208,26.635921052631588,42.433579335793354,70.63909547738695,111.13402489626557,201.24848484848482,31.457333333333334,16.04608695652174,31.311475409836067,52.865478260869565,56.74938271604937,41.46595744680852,9.039330543933055,28.427350427350426,54.785501858736055,49.79545454545455,83.63100436681222,21.78015267175573,8.268595041322314,41.229107981220665,99.65476190476191,45.879012345679016,31.727739463601534,31.211570247933885
2008,53.626808510638284,68.71313868613139,11.802970297029702,93.10480769230769,55.95962025316456,68.15435897435898,42.916593886462884,26.965020576131685,28.250000000000004,65.55315315315316,33.43545816733068,39.570558375634505,32.74634146341464,68.84598540145984,34.05229357798166,28.71163793103448,30.311842105263167,23.95535055350554,72.23512562814071,100.35228215767634,183.4833333333333,28.229254901960786,15.408260869565218,21.00450819672131,41.375217391304346,54.64362139917694,46.67872340425532,5.243514644351471,27.931623931623932,54.66133828996283,46.69318181818181,71.57510917030567,12.323664122137409,6.5,37.72676056338029,95.44761904761906,38.165432098765436,28.668927203065135,27.799999999999997
2007,62.06510638297871,65.03430656934306,9.700000000000003,87.14807692307693,56.70569620253165,67.02000000000001,42.619650655021836,29.070781893004117,27.504477611940302,64.06666666666666,27.299999999999997,35.742131979695415,34.14878048780488,64.5978102189781,33.4908256880734,30.84094827586207,32.291184210526325,23.599999999999994,71.34844221105527,97.74979253112033,175.66666666666663,28.725882352941177,8.179565217391307,17.9,41.375217391304346,42.99999999999999,49.01914893617022,7.563179916317992,31.897435897435898,51.433085501858734,44.47727272727273,68.38384279475981,11.950381679389317,7.207438016528926,39.127699530516445,84.78952380952381,38.69135802469136,27.70758620689655,28.226446280991738
2006,70.50340425531913,67.34671532846716,10.050495049504953,91.40288461538461,55.53329113924051,69.85589743589745,47.519213973799125,25.478600823045266,27.752985074626867,66.7918918918919,31.594820717131473,38.7197969543147,38.35609756097561,64.5978102189781,32.64862385321102,31.053879310344826,35.967105263157904,26.087453874538753,74.54050251256282,100.72406639004149,176.3772727272727,29.346666666666668,8.32130434782609,18.769262295081965,41.588,45.22962962962962,51.99787234042554,9.671966527196659,34.871794871794876,55.40631970260223,47.31363636363636,69.09301310043666,12.448091603053438,10.037190082644628,43.85586854460095,85.07000000000001,41.32098765432099,28.668927203065135,32.63305785123967
2005,80.62936170212764,68.60802919708028,10.926732673267331,95.09038461538461,,70.70666666666668,55.388209606986905,26.097942386831274,27.87723880597015,67.28738738738738,37.484860557768926,42.1228426395939,40.0390243902439,67.42992700729926,31.806422018348627,31.79913793103448,42.75342105263158,28.21955719557195,78.97391959798995,99.9804979253112,177.08787878787876,26.987686274509805,7.966956521739132,20.5077868852459,42.864695652173914,49.81275720164608,41.253191489361704,12.624267782426784,39.952991452991455,62.856133828996285,46.60454545454545,67.32008733624453,15.932061068702293,14.989256198347107,49.10938967136151,92.08190476190477,39.217283950617286,30.15463601532567,34.62314049586777
2004,118.32042553191488,65.24452554744525,11.97821782178218,97.07596153846154,,71.84102564102565,59.1,26.221810699588477,28.49850746268657,65.05765765765766,44.233864541832666,45.100507614213186,42.84390243902439,66.01386861313868,29.279816513761475,30.41508620689655,51.236315789473686,29.996309963099634,82.1659798994975,97.9356846473029,172.11363636363635,23.262980392156862,7.896086956521742,21.873770491803278,45.84365217391304,50.30823045267489,42.52978723404256,15.998326359832639,46.27350427350427,69.68513011152416,45.09772727272727,62.00131004366811,18.918320610687026,21.002479338842974,48.934272300469495,94.60619047619048,44.12592592592593,29.542873563218393,35.90247933884298
2003,139.13489361702125,65.87518248175182,13.20495049504951,101.61442307692307,,76.0948717948718,57.912227074235815,26.593415637860083,28.250000000000004,63.32342342342342,46.19721115537848,47.65279187817258,42.84390243902439,64.31459854014598,28.15688073394496,27.008189655172412,55.76052631578948,30.707011070110696,83.23,98.49336099585062,169.98181818181814,20.40737254901961,7.470869565217395,23.115573770491803,45.205304347826086,50.060493827160485,41.359574468085114,17.89623430962343,49.0,71.42342007434945,46.60454545454545,58.81004366812226,22.15343511450382,28.430578512396693,49.63474178403757,97.69142857142857,50.787654320987656,29.193295019157087,36.89752066115703
2002,166.7,66.71605839416058,15.132673267326737,105.30192307692307,,79.78153846153847,59.1,25.726337448559672,25.889179104477616,59.731081081081086,49.14223107569721,51.481218274111654,40.31951219512195,60.349635036496345,26.753211009174322,25.624137931034483,62.264078947368425,33.194464944649454,82.87532663316584,99.9804979253112,164.29696969696965,17.551764705882356,7.400000000000002,21.62540983606557,43.290260869565216,48.82181069958847,34.338297872340426,19.372384937238493,45.034188034188034,66.45687732342007,41.81818181818181,56.32794759825326,24.890839694656492,37.627272727272725,50.160093896713626,94.3257142857143,55.17037037037037,27.35800766283525,36.89752066115703
2001,53.626808510638284,66.71605839416058,17.235643564356437,108.13846153846154,,81.48307692307694,50.93406113537118,24.363786008230456,22.782835820895524,57.99684684684685,48.528685258964146,54.03350253807105,41.1609756097561,58.36715328467153,27.033944954128444,25.091810344827586,73.5746052631579,36.03726937269373,78.79658291457287,102.95477178423238,144.39999999999998,17.67592156862745,7.683478260869567,19.514344262295083,41.588,49.56502057613168,29.125531914893617,20.426778242677827,43.42307692307692,62.856133828996285,37.29772727272727,53.491266375545834,25.88625954198474,44.34793388429752,52.086384976525835,93.76476190476191,57.62469135802469,27.794980842911876,43.43636363636364
2000,45.75106382978723,66.08540145985401,19.689108910891093,109.55673076923077,,80.34871794871796,52.2703056768559,22.877366255144032,16.942910447761196,59.11171171171171,52.45537848605578,57.86192893401014,42.56341463414634,58.933576642335765,31.24495412844037,24.985344827586207,87.43,46.69778597785978,73.65381909547739,103.32655601659752,135.16212121212118,17.17929411764706,7.470869565217395,19.886885245901638,35.41730434782609,52.04238683127571,34.12553191489362,22.535564853556487,44.414529914529915,62.11115241635687,36.5,50.29999999999998,22.526717557251914,55.66694214876033,50.68544600938968,80.02142857142859,57.8,24.1244061302682,43.29421487603306
1999,42.9382978723404,66.71605839416058,22.66831683168317,115.22980769230769,,89.14000000000001,53.01266375545852,21.76255144032922,15.32761194029851,60.1027027027027,58.1,60.839593908629425,44.24634146341464,60.63284671532846,33.77155963302752,24.027155172413792,,51.67269372693727,70.46175879396985,108.15975103734439,127.34545454545452,16.806823529411766,7.966956521739132,21.252868852459013,36.90678260869565,58.60740740740739,30.934042553191492,23.80083682008368,,57.14460966542751,38.981818181818184,51.00917030567685,21.78015267175573,92.1,61.192488262910814,83.66761904761906,56.74814814814815,13.899233716475095,
1998,37.3127659574468,63.87810218978102,23.71980198019802,119.20096153846154,,93.39384615384617,57.169868995633195,20.5238683127572,13.960820895522389,59.60720720720721,,62.541116751269016,47.051219512195125,61.482481751824814,35.73669724770643,20.939655172413794,,61.62250922509226,67.09236180904523,109.27510373443984,113.1333333333333,14.696156862745099,9.100869565217394,24.233196721311472,36.26843478260869,62.69506172839505,30.295744680851065,29.072803347280335,,54.66133828996283,38.361363636363635,51.718340611353696,16.803053435114506,,66.62112676056339,81.42380952380952,49.91111111111111,15.297547892720306,
1997,34.49999999999997,63.56277372262773,25.998019801980202,124.30673076923077,,95.37897435897438,54.348908296943236,20.4,12.345522388059706,58.987837837837844,,64.24263959390862,52.38048780487805,61.482481751824814,36.57889908256881,23.281896551724138,,70.1509225092251,66.2056783919598,112.43526970954358,100.34242424242422,10.226509803921573,9.384347826086959,23.115573770491803,31.800000000000004,65.79176954732509,32.10425531914893,29.705439330543932,,54.28884758364312,42.26136363636364,55.264192139737986,15.061068702290079,,67.49671361502348,68.24142857142859,40.619753086419756,16.084099616858236,
1996,,68.292700729927,29.32772277227723,128.84519230769232,,100.2,51.52794759825328,21.39094650205761,11.600000000000001,57.872972972972974,,65.51878172588832,55.46585365853659,60.06642335766423,36.01743119266055,24.13362068965517,,78.67933579335794,64.25497487437187,115.22365145228216,98.92121212121211,8.240000000000002,9.596956521739134,26.716803278688523,35.204521739130435,71.36584362139916,36.57234042553192,34.76652719665272,,51.6814126394052,42.349999999999994,59.51921397379911,10.581679389312981,,69.77323943661973,68.80238095238096,15.200000000000003,15.472337164750957,
1995,,68.292700729927,31.25544554455446,131.11442307692306,,100.2,49.89475982532751,21.39094650205761,13.712313432835828,54.9,,61.69035532994923,55.46585365853659,56.10145985401459,34.613761467889915,20.620258620689654,,88.98450184501846,67.26969849246231,115.78132780082989,91.10454545454544,8.984941176470592,9.809565217391306,36.278688524590166,41.1624347826087,73.1,40.827659574468086,42.14728033472804,,59.62788104089219,47.57954545454545,58.45545851528384,6.600000000000001,,69.4230046948357,67.4,,15.734521072796934,
1994,,64.19343065693431,31.781188118811883,132.24903846153845,,97.64769230769232,46.182969432314415,,,,,58.71269035532994,56.307317073170736,49.58759124087591,31.24495412844037,20.087931034482757,,94.31476014760148,69.92974874371859,120.98630705394191,83.28787878787875,10.10235294117647,,32.67745901639344,46.9075652173913,,50.72127659574468,45.310460251046024,,62.35947955390335,,57.39170305676855,,,72.4,68.24142857142859,,14.860574712643675,
1993,,60.82992700729926,30.729702970297033,133.1,,94.81179487179489,42.76812227074236,,,,,56.16040609137055,54.34390243902439,46.18905109489051,26.753211009174322,15.190517241379311,,91.4719557195572,72.41246231155779,114.48008298755187,77.6030303030303,11.46807843137255,,22.99139344262295,54.99330434782609,,53.7,50.793305439330545,,74.9,,54.55502183406112,,,,68.80238095238096,,14.248812260536397,
1992,,56.520437956204375,27.750495049504952,128.56153846153845,,88.85641025641027,36.68078602620088,,,,,45.52588832487308,39.197560975609754,39.67518248175182,22.822935779816518,13.7,,94.670110701107,72.05778894472363,103.32655601659752,71.20757575757574,12.21301960784314,,25.102459016393443,64.56852173913043,,44.97659574468086,54.8,,62.98029739776952,,55.264192139737986,,,,,,11.189999999999998,
1991,,56.835766423357654,21.616831683168318,127.14326923076922,,81.19948717948719,31.335807860262012,,,,,42.97360406091369,21.80731707317073,35.99343065693431,21.700000000000003,15.190517241379311,,93.60405904059041,72.76713567839197,95.70497925311204,66.23333333333332,12.461333333333336,,31.311475409836067,73.50539130434782,,39.12553191489362,44.888702928870295,,52.674721189591075,,60.937554585152824,,,,,,,
1990,,56.099999999999994,16.35940594059406,125.725,,74.39333333333335,29.108733624454153,,,,,42.54822335025379,13.953658536585365,35.42700729927007,23.103669724770654,16.361637931034483,,98.93431734317343,68.86572864321609,92.35892116182572,66.94393939393936,13.330431372549022,,42.363524590163934,80.74,,28.912765957446812,47.63012552301255,,54.41301115241636,,57.39170305676855,,,,,,,
1989,,56.520437956204375,17.060396039603965,122.0375,,71.55743589743591,25.1,,,,,40.8467005076142,14.234146341463415,34.01094890510949,25.630275229357807,17.532758620689656,,107.81808118081182,70.10708542713569,90.5,66.94393939393936,,,,,,32.317021276595746,42.3581589958159,,,,,,,,,,,
1988,,57.256204379562035,,125.1576923076923,,70.13948717948719,27.772489082969436,,,,,39.570558375634505,16.758536585365846,33.44452554744525,30.964220183486248,19.76853448275862,,109.23948339483395,67.62437185929649,,70.49696969696967,,,,,,32.423404255319156,39.19497907949791,,,,,,,,,,,
1987,,,,124.59038461538461,,70.42307692307693,29.70262008733625,,,,,42.97360406091369,17.599999999999994,33.44452554744525,34.89449541284404,,,108.52878228782288,68.15638190954775,,72.62878787878785,,,,,,38.4872340425532,43.83430962343097,,,,,,,,,,,
1986,,,,120.33557692307693,,69.85589743589745,30.890393013100436,,,,,43.398984771573595,16.47804878048781,31.178832116788314,37.14036697247707,,,93.95940959409594,64.78698492462311,,69.7863636363636,,,,,,45.934042553191496,39.61673640167364,,,,,,,,,,,
1985,,,,115.22980769230769,,65.60205128205129,32.672052401746726,,,,,42.1228426395939,15.917073170731712,30.61240875912408,38.54403669724772,,,91.11660516605167,60.53090452261306,,66.94393939393936,,,,,,36.89148936170213,37.92970711297072,,,,,,,,,,,
1984,,,,110.40769230769232,,60.78102564102565,33.414410480349346,,,,,37.01827411167511,15.356097560975613,29.196350364963493,38.82477064220184,,,87.20774907749077,55.920150753768844,,66.23333333333332,,,,,,35.08297872340425,29.49456066945607,,,,,,,,,,,
1983,,,,106.43653846153846,,57.66153846153847,33.85982532751092,,,,,30.212182741116735,15.356097560975613,26.93065693430657,38.54403669724772,,,74.41512915129152,52.55075376884422,,64.81212121212118,,,,,,35.18936170212766,26.753138075313807,,,,,,,,,,,
1982,,,,96.225,,52.27333333333334,,,,,,25.107614213197948,13.953658536585365,25.514598540145982,39.947706422018356,,,69.44022140221404,53.260100502512564,,59.1272727272727,,,,,,38.274468085106385,20.21589958158996,,,,,,,,,,,
1981,,,,86.58076923076922,,46.60153846153847,,,,,,20.003045685279176,11.70975609756097,22.116058394160575,40.22844036697248,,,65.17601476014761,48.82668341708543,,55.574242424242414,,,,,,43.06170212765958,16.841841004184104,,,,,,,,,,,
1980,,,,74.1,,44.900000000000006,,,,,,16.59999999999998,11.42926829268292,20.700000000000003,39.10550458715596,,,,47.94,,50.599999999999994,,,,,,47.31702127659575,15.57656903765691,,,,,,,,,,,
1979,,,,,,,,,,,,,11.14878048780487,,42.19357798165138,,,,,,,,,,,,,14.311297071129708,,,,,,,,,,,
1978,,,,,,,,,,,,,11.14878048780487,,44.43944954128441,,,,,,,,,,,,,8.406694560669457,,,,,,,,,,,
1977,,,,,,,,,,,,,8.06341463414634,,47.80825688073395,,,,,,,,,,,,,7.563179916317992,,,,,,,,,,,
1976,,,,,,,,,,,,,6.099999999999994,,49.211926605504594,,,,,,,,,,,,,8.617573221757326,,,,,,,,,,,
1975,,,,,,,,,,,,,6.660975609756093,,47.52752293577982,,,,,,,,,,,,,4.821757322175735,,,,,,,,,,,
1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.400000000000006,,,,,,,,,,,
1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6652719665272,,,,,,,,,,,
1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6652719665272,,,,,,,,,,,
